"","Hexp","GenLoad"
"total",0.179745298493061,1.01885985758335
"BFA",0.163089574050892,1.01285304869496
"BRB",0.15842372614317,1.02329145823823
"CR",0.16236956751756,1.04739136891157
"CRA",0.165891850549524,1.00592654712752
"DG",0.162813995544504,1.01842650696518
"GPA",0.159506204322138,1.01563053144299
"KOS",0.168738241315918,1.02638509151787
"PRK",0.162132627590442,1.01419416557651
"RP",0.160601067988044,0.999444700328771
"XCS",0.140883102137726,0.966230256507312
"XDS",0.165311583297019,0.960435161286623
"XPK",0.160169258059803,0.990193575392367
"XSK",0.152905315489434,1.0509285094996
